mutant-id|timeToExecute|0-should create a unique random alphabet with each seed|1-should return the same alphabet with a single seed|2-should shuffle into a 64-character string of unique characters|3-should work with custom alphabets|4-1) should print 10 examples: 2zO9Wlaynzrq4|5-2) should print 10 examples: 3vhyvN8kg2NfZ|6-3) should print 10 examples: _h-OdlZHB2XAX|7-4) should print 10 examples: rtVHFFb8QPv1k|8-5) should print 10 examples: Z5TuS4RxbtAh4|9-6) should print 10 examples: Ug_fMJ_mZqXjG|10-7) should print 10 examples: 3S8b6-AYKoyzC|11-8) should print 10 examples: JFDetUS9dpvna|12-9) should print 10 examples: 7YUl8lMLiqP3n|13-10) should print 10 examples: YAoauHkVbEOdb|14-should find these valid|15-should find these invalid|16-should run a bunch and never get duplicates (160ms)
MUTANT 281|4473ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 282|4516ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 283|4620ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 286|4649ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 287|4609ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 285|4773ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 288|4905ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 289|4592ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 290|4597ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 291|4603ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 292|4610ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 293|4605ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 294|4661ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 295|4705ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 296|4641ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 297|4499ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 298|4551ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 299|4739ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 300|4627ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 301|4811ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 302|4858ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
