mutant-id|timeToExecute|0-should create a unique random alphabet with each seed|1-should return the same alphabet with a single seed|2-should shuffle into a 64-character string of unique characters|3-should work with custom alphabets|4-1) should print 10 examples: 3x3Dh-WPZqRVT|5-2) should print 10 examples: Df5Ut7wsumyqK|6-3) should print 10 examples: BKo5mmIx_fIp3|7-4) should print 10 examples: G7d4QFBRXH41S|8-5) should print 10 examples: FO1EoSZZjBM3c|9-6) should print 10 examples: 7U_uOXRl5eK-N|10-7) should print 10 examples: 0ADMsxX3Es8KG|11-8) should print 10 examples: alde56q579tsB|12-9) should print 10 examples: 4toY61MDXJwFY|13-10) should print 10 examples: aMMMaja8pG7TH|14-should find these valid|15-should find these invalid|16-should run a bunch and never get duplicates (133ms)
MUTANT 199|1477ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 200|1355ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 203|1310ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 204|1235ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 205|1313ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 206|1252ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 207|1310ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 208|1295ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 209|1366ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 210|1288ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 211|1617ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|1|1|1
MUTANT 214|4624ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0
MUTANT 215|4426ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0
MUTANT 217|4865ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 216|4908ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|1|1
MUTANT 218|4946ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 219|5535ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 222|1465ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 223|1330ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 224|1263ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 225|1306ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 220|4816ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 221|4826ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|1|1
MUTANT 226|4542ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 227|4584ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 229|4096ms|1|1|1|1|0|0|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 232|1284ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 233|1212ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 230|4394ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 231|4158ms|1|1|1|1|0|0|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 234|1331ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 235|1314ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 237|1371ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 238|1330ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 239|1267ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 236|4353ms|1|1|1|1|0|0|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 240|4571ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 241|4446ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 242|4643ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 243|4539ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 246|1233ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 244|4518ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|1|1
MUTANT 245|4528ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 247|4139ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 248|4201ms|1|1|1|1|0|0|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 249|4300ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 250|3695ms|1|1|1|1|0|0|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 251|2933ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|1|1|1
MUTANT 255|1212ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 254|1289ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 252|4349ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1
MUTANT 253|4405ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1
MUTANT 256|4472ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|1
MUTANT 257|4466ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|1
MUTANT 258|4533ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1
MUTANT 259|4635ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 260|4581ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1
MUTANT 261|4587ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|1|1
MUTANT 264|1284ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 262|4485ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|1|1
MUTANT 263|4576ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1
MUTANT 265|4502ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 266|4477ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1
MUTANT 269|1286ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 267|4551ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1
MUTANT 268|4599ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|1
MUTANT 270|4528ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|1
MUTANT 271|4600ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1
MUTANT 272|4540ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|1
MUTANT 273|4469ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|1|1
MUTANT 277|1250ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 274|4562ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|1|1
MUTANT 275|4669ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1
MUTANT 276|4723ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1
MUTANT 278|4479ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|1|1
MUTANT 279|4110ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|1
MUTANT 280|3945ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|1
MUTANT 282|4411ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 281|4482ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 284|4478ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 283|4497ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 287|4379ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 288|4400ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 285|4502ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 286|4464ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 289|4498ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 291|4461ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 292|4529ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 290|4620ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 294|4549ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 293|4586ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 296|4494ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 295|4574ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 298|4497ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 297|4533ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 300|4499ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
