mutant-id|timeToExecute|0-should create a unique random alphabet with each seed|1-should return the same alphabet with a single seed|2-should shuffle into a 64-character string of unique characters|3-should work with custom alphabets|4-1) should print 10 examples: ByMj3aXYt|5-2) should print 10 examples: B1xfi2aXtY|6-3) should print 10 examples: By-fsnpQFt|7-4) should print 10 examples: rkGzjhp7Ft|8-5) should print 10 examples: ByXzinp7FK|9-6) should print 10 examples: r14zs2aQtt|10-7) should print 10 examples: HJHzi367Yt|11-8) should print 10 examples: S1IMo2p7Kt|12-9) should print 10 examples: SkDMo2pXYK|13-10) should print 10 examples: HkdGina7tF|14-should find these valid|15-should find these invalid|16-should run a bunch and never get duplicates (155ms)|17-should decode worker
MUTANT 136|1779ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|1|1|1|1
MUTANT 135|1886ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|0
MUTANT 134|1944ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 139|1480ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1
MUTANT 141|1829ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 140|1920ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 138|1999ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 142|2113ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 143|1890ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 144|1842ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 145|1901ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 148|1485ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 149|1492ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 146|1890ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 147|1864ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 151|1450ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 153|1455ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 155|1480ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 157|1499ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 159|1501ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 160|1417ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 162|1416ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 161|1456ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 163|1488ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 165|1436ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 164|1500ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 166|1462ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 167|1451ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 168|1526ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 169|1936ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 170|1916ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 171|1958ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 172|1974ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0
