mutant-id|timeToExecute|0-should create a unique random alphabet with each seed|1-should return the same alphabet with a single seed|2-should shuffle into a 64-character string of unique characters|3-should work with custom alphabets|4-1) should print 10 examples: ry2uoTmtF|5-2) should print 10 examples: Hyl2Oo6XFK|6-3) should print 10 examples: r1WhOoaXtK|7-4) should print 10 examples: Syf2djpQYK|8-5) should print 10 examples: BJQndsaQKt|9-6) should print 10 examples: H1Endo6XFt|10-7) should print 10 examples: rkS3do6QYF|11-8) should print 10 examples: BJLndoTQFK|12-9) should print 10 examples: ryw3_jpXYY|13-10) should print 10 examples: SJO3OiTXFY|14-should find these valid|15-should find these invalid|16-should run a bunch and never get duplicates (160ms)|17-should decode worker
MUTANT 341|2129ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 342|1997ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 343|2049ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 344|2003ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 345|2101ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 346|1955ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 347|1997ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 348|2007ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 349|1980ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 350|1770ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 351|1853ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 352|1898ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 353|2015ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 354|1978ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 355|1940ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 356|1935ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 357|2047ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 358|1946ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 360|1904ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 359|2048ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 361|1960ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 362|1956ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 363|1959ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 364|1996ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 365|1923ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 366|1612ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 367|1607ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 368|1707ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|0
MUTANT 369|1766ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 370|2005ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 372|1861ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 373|1898ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 374|1913ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 375|2038ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 376|2036ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0
MUTANT 377|2009ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 378|2026ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0
MUTANT 379|1474ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 380|1481ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 381|1438ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 382|1357ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 383|1207ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 384|1335ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 386|1763ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 387|1863ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 389|1809ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 390|1757ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
