mutant-id|timeToExecute|0-should create a unique random alphabet with each seed|1-should return the same alphabet with a single seed|2-should shuffle into a 64-character string of unique characters|3-should work with custom alphabets|4-1) should print 10 examples: gayVwe_SSWzOW|5-2) should print 10 examples: lAGAMJbX6P_B5|6-3) should print 10 examples: 28MVS0Bg1ilbO|7-4) should print 10 examples: RCGL4Aj5uTTXr|8-5) should print 10 examples: 06iFr1jvrXLRu|9-6) should print 10 examples: mBDBAX9rwjA_b|10-7) should print 10 examples: GuoHYx8MKvOaP|11-8) should print 10 examples: _yoR9-9pBkDeE|12-9) should print 10 examples: FYGqN9B_X9VxU|13-10) should print 10 examples: iAudgh0l85fg5|14-should find these valid|15-should find these invalid|16-should run a bunch and never get duplicates (111ms)
MUTANT 160|1447ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 162|1397ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 164|1369ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 163|1432ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 165|1391ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 161|3271ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 167|1354ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 166|1460ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 168|2760ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 169|2827ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 170|2796ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 171|2853ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 175|1405ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 172|2876ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 174|2635ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 173|2837ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 176|2046ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0
MUTANT 177|2963ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 178|2967ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 180|3037ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 182|2549ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|1|1|1
MUTANT 181|2820ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0
MUTANT 183|3307ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0
MUTANT 184|3247ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0
MUTANT 185|3033ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 186|2564ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|1|1|1
MUTANT 188|3012ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 189|3003ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 191|2560ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|1|1|1
MUTANT 192|3045ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 193|3212ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 194|3074ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 197|3019ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 196|3108ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 198|2916ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|1|1|1
MUTANT 195|3471ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0
MUTANT 202|1372ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 203|1328ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 201|2924ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|1|1|1
MUTANT 200|3158ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 199|3230ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 204|1471ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 205|1429ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 209|1263ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 208|1348ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 206|3453ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0
MUTANT 207|3565ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0
MUTANT 211|1358ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 210|1432ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 212|1495ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 213|1405ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 214|1418ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 215|1443ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 216|2800ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|1|1|1
MUTANT 217|3489ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0
MUTANT 219|2979ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0
MUTANT 220|2278ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0
MUTANT 222|3008ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 223|3045ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 221|3096ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|1|1
MUTANT 224|3111ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 227|1450ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 228|1505ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 229|1284ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 230|1314ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 225|3378ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 226|3444ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|1|1
MUTANT 231|3149ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 232|3321ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 234|2906ms|1|1|1|1|0|0|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 233|3109ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0
MUTANT 237|1384ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 238|1482ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 239|1387ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 235|3206ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 236|3044ms|1|1|1|1|0|0|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 240|1500ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 242|1462ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 243|1536ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 244|1471ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 241|3063ms|1|1|1|1|0|0|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 245|3322ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
