mutant-id|timeToExecute|0-sha1 node|1-sha1 browser|2-v5|3-uuids with current time|4-uuids with time option|5-msec|6-exception thrown when > 10k ids created in 1ms|7-clock regression by msec|8-clock regression by nsec|9-explicit options product expected id|10-ids spanning 1ms boundary are 100ns apart
MUTANT 194|1639ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 196|1711ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 197|1393ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 199|1312ms|1|0|1|1|1|1|1|1|1|1|1
MUTANT 198|1469ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 200|1360ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 201|1391ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 202|1340ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 203|1334ms|1|1|1|1|1|1|1|1|1|1|1
MUTANT 204|1358ms|1|1|1|1|1|1|1|1|1|1|1
MUTANT 205|1368ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 206|1328ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 207|1332ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 208|1338ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 209|1408ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 210|1414ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 211|1401ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 212|1349ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 213|1309ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 215|1304ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 214|1350ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 216|1353ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 217|1381ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 218|1397ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 219|1400ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 220|1363ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 221|1432ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 222|1359ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 223|1374ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 224|1352ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 225|1373ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 227|1315ms|1|0|1|1|1|1|1|1|1|1|1
MUTANT 226|1373ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 228|1390ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 231|1276ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 229|1381ms|1|0|0|1|1|1|1|1|1|1|1
