mutant-id|timeToExecute|0-passes a basic sanity check|1-allows namespaces to be a non-string value|2-honors global debug namespace enable calls|3-uses custom log function|4-should extend namespace|5-should extend namespace with custom delimiter|6-should extend namespace with empty delimiter
MUTANT 277|1546ms|1|1|1|1|1|1|1
MUTANT 279|1522ms|1|1|1|1|1|1|1
MUTANT 280|1345ms|1|1|1|1|1|1|1
MUTANT 281|1404ms|1|1|1|1|1|1|1
MUTANT 282|1497ms|1|1|1|1|1|1|1
MUTANT 283|1465ms|1|1|1|1|1|1|1
MUTANT 284|1377ms|1|1|1|1|1|1|1
MUTANT 285|1356ms|1|1|1|1|1|1|1
MUTANT 286|1411ms|1|1|1|1|1|1|1
MUTANT 287|1413ms|1|1|1|1|1|1|1
MUTANT 288|1426ms|1|1|1|1|1|1|1
MUTANT 289|1436ms|1|1|1|1|1|1|1
MUTANT 290|1385ms|1|1|1|1|1|1|1
MUTANT 291|1412ms|1|1|1|1|1|1|1
MUTANT 292|1403ms|1|1|1|1|1|1|1
MUTANT 293|1398ms|1|1|1|1|1|1|1
MUTANT 294|1418ms|1|1|1|1|1|1|1
MUTANT 295|1452ms|1|1|1|1|1|1|1
MUTANT 296|1382ms|1|1|1|1|1|1|1
MUTANT 298|1460ms|1|1|1|1|1|1|1
MUTANT 297|1702ms|1|1|1|1|1|1|1
MUTANT 299|1480ms|1|1|1|1|1|1|1
MUTANT 300|1472ms|1|1|1|1|1|1|1
MUTANT 301|1359ms|1|1|1|1|1|1|1
MUTANT 302|1430ms|1|1|1|1|1|1|1
MUTANT 303|1461ms|1|1|1|1|1|1|1
MUTANT 304|1427ms|1|1|1|1|1|1|1
MUTANT 305|1395ms|1|1|1|1|1|1|1
MUTANT 306|1463ms|1|1|1|1|1|1|1
MUTANT 307|1368ms|1|1|1|1|1|1|1
MUTANT 308|1353ms|1|1|1|1|1|1|1
MUTANT 309|1375ms|1|1|1|1|1|1|1
MUTANT 310|1433ms|1|1|1|1|1|1|1
MUTANT 311|1386ms|1|1|1|1|1|1|1
MUTANT 312|1379ms|1|1|1|1|1|1|1
MUTANT 313|1378ms|1|1|1|1|1|1|1
MUTANT 314|1390ms|1|1|1|1|1|1|1
MUTANT 315|1389ms|1|1|1|1|1|1|1
MUTANT 316|1458ms|1|1|1|1|1|1|1
MUTANT 317|1521ms|1|1|1|1|1|1|1
MUTANT 318|1434ms|1|1|1|1|1|1|1
MUTANT 319|1416ms|1|1|1|1|1|1|1
MUTANT 320|1386ms|1|1|1|1|1|1|1
MUTANT 321|1452ms|1|1|1|1|1|1|1
MUTANT 322|1379ms|1|1|1|1|1|1|1
MUTANT 323|1309ms|1|1|1|1|1|1|1
MUTANT 324|1403ms|1|1|1|1|1|1|1
MUTANT 325|1375ms|1|1|1|1|1|1|1
MUTANT 327|1376ms|1|1|1|1|1|1|1
MUTANT 326|1407ms|1|1|1|1|1|1|1
MUTANT 328|1421ms|1|1|1|1|1|1|1
MUTANT 329|1333ms|1|1|1|1|1|1|1
MUTANT 330|1385ms|1|1|1|1|1|1|1
MUTANT 331|1461ms|1|1|1|1|1|1|1
MUTANT 332|1345ms|1|1|1|1|1|1|1
MUTANT 333|1516ms|1|1|1|1|1|1|1
MUTANT 334|1437ms|1|1|1|1|1|1|1
MUTANT 335|1398ms|1|1|1|1|1|1|1
MUTANT 336|1463ms|1|1|1|1|1|1|1
MUTANT 337|1397ms|1|1|1|1|1|1|1
MUTANT 338|1405ms|1|1|1|1|1|1|1
MUTANT 339|1417ms|1|1|1|1|1|1|1
MUTANT 340|1453ms|1|1|1|1|1|1|1
MUTANT 341|1384ms|1|1|1|1|1|1|1
